Species,Length1,Length2,Length3,Height,Width,Weight
Bream,26.8,29.7,34.7,13.6024,4.9274,450
Roach,17.5,18.8,21.2,5.5756,2.9044,78
Pike,40,42.5,45.5,6.825,4.459,510
Perch,18.2,20,21,5.082,2.772,85
Perch,36.5,39,41.4,11.1366,7.4934,900
Perch,25.9,28,29.4,7.8204,4.2042,250
Pike,35.5,38,40.5,7.29,4.5765,430
Parkki,18.4,20,22.4,8.8928,3.2928,150
Perch,15,16.2,17.2,4.5924,2.6316,51.5
Smelt,10.1,10.6,11.6,1.7284,1.1484,7
Bream,31.8,35,40.6,15.4686,6.1306,680
Bream,28.5,30.7,36.2,14.2266,4.9594,500
Bream,27.6,30,35.1,14.0049,4.8438,450
Bream,36.2,39.5,45.3,18.7542,6.7497,925
Perch,25.4,27.5,28.9,7.2828,4.5662,250
Perch,34,36,38.3,10.6091,6.7408,700
Roach,22,24,27.2,7.5344,3.8352,169
Bream,28.7,31,36.2,14.3714,4.8146,500
Bream,35,38.5,44.1,18.0369,6.3063,920
