Species,Weight,Length1,Length2,Length3,Height,Width
Pike,950,48.3,51.7,55.1,8.9262,6.1712
Roach,69,16.5,18.2,20.3,5.2983,2.8217
Roach,120,19.4,21,23.7,6.1146,3.2943
Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852
Parkki,120,17.5,19,21.3,8.3922,2.9181
Perch,650,36.5,39,41.4,11.1366,6.003
Bream,363,26.3,29,33.5,12.73,4.4555
Bream,975,37.4,41,45.9,18.6354,6.7473
Bream,600,29.4,32,37.2,15.438,5.58
Perch,32,12.5,13.7,14.7,3.528,1.9992
Perch,556,32,34.5,36.5,10.2565,6.3875
Perch,150,20.5,22.5,24,6.792,3.624
Perch,115,19,21,22.5,5.9175,3.3075
Perch,820,36.6,39,41.3,12.4313,7.3514
Bream,685,31.4,34,39.2,15.9936,5.3704
Perch,820,37.1,40,42.5,11.135,6.63
Bream,650,31,33.5,38.7,14.4738,5.7276
Bream,1000,33.5,37,42.6,18.957,6.603
Bream,290,24,26.3,31.2,12.48,4.3056
